iter	Passed	Remaining
769	46246	13813
770	46313	13756
771	46380	13697
772	46451	13640
773	46519	13583
774	46581	13523
775	46645	13464
776	46713	13406
777	46773	13346
778	46829	13285
779	46884	13223
780	46939	13162
781	46995	13100
782	47051	13039
783	47107	12978
784	47162	12917
785	47221	12856
786	47279	12796
787	47334	12734
788	47393	12674
789	47449	12613
790	47506	12552
791	47563	12491
792	47618	12430
793	47677	12369
794	47733	12308
795	47791	12248
796	47849	12187
797	47904	12126
798	47963	12065
799	48019	12004
800	48073	11943
801	48130	11882
802	48184	11821
803	48240	11760
804	48296	11699
805	48348	11637
806	48403	11575
807	48458	11514
808	48513	11453
809	48571	11393
810	48632	11333
811	48686	11272
812	48742	11211
813	48796	11149
814	48849	11088
815	48904	11027
816	48958	10966
817	49015	10905
818	49073	10845
819	49138	10786
820	49200	10727
821	49262	10667
822	49329	10609
823	49392	10549
824	49454	10490
825	49514	10430
826	49573	10370
827	49640	10311
828	49700	10251
829	49756	10190
830	49809	10129
831	49864	10068
832	49922	10008
833	49978	9947
834	50033	9886
835	50095	9827
836	50155	9767
837	50213	9707
838	50279	9648
839	50350	9590
840	50413	9531
841	50478	9472
842	50543	9413
843	50609	9354
844	50665	9293
845	50734	9235
846	50799	9176
847	50862	9116
848	50917	9056
849	50979	8996
850	51044	8937
851	51103	8877
852	51164	8817
853	51225	8757
854	51279	8696
855	51335	8635
856	51397	8576
857	51462	8517
858	51520	8456
859	51585	8397
860	51640	8336
861	51697	8276
862	51753	8215
863	51810	8155
864	51866	8094
865	51921	8033
866	51989	7975
867	52066	7917
868	52130	7858
869	52191	7798
870	52275	7742
871	52351	7684
872	52437	7628
873	52509	7570
874	52592	7513
875	52667	7455
876	52750	7398
877	52837	7341
878	52928	7285
879	53017	7229
880	53121	7175
881	53201	7117
882	53270	7058
883	53357	7001
884	53446	6944
885	53513	6885
886	53581	6825
887	53655	6767
888	53730	6708
889	53803	6649
890	53883	6591
891	53976	6535
892	54064	6478
893	54135	6418
894	54217	6360
895	54301	6302
896	54365	6242
897	54428	6182
898	54492	6122
899	54556	6061
900	54615	6001
901	54676	5940
902	54738	5880
903	54802	5819
904	54865	5759
905	54933	5699
906	55004	5639
907	55064	5579
908	55123	5518
909	55182	5457
910	55241	5396
911	55302	5336
912	55362	5275
913	55419	5214
914	55480	5153
915	55540	5093
916	55604	5032
917	55658	4971
918	55721	4911
919	55799	4852
920	55885	4793
921	55964	4734
922	56045	4675
923	56140	4617
924	56223	4558
925	56304	4499
926	56390	4440
927	56508	4384
928	56593	4325
929	56672	4265
930	56736	4204
931	56809	4144
932	56875	4084
933	56941	4023
934	57005	3962
935	57072	3902
936	57145	3842
937	57218	3782
938	57299	3722
939	57379	3662
940	57482	3604
941	57569	3544
942	57652	3484
943	57736	3425
944	57822	3365
945	57934	3307
946	58052	3248
947	58165	3190
948	58257	3130
949	58358	3071
950	58461	3012
951	58549	2952
952	58655	2892
953	58746	2832
954	58847	2772
955	58943	2712
956	59036	2652
957	59127	2592
958	59225	2532
959	59316	2471
960	59408	2410
961	59489	2349
962	59581	2289
963	59667	2228
964	59748	2167
965	59823	2105
966	59903	2044
967	59979	1982
968	60044	1920
969	60106	1858
970	60179	1797
971	60258	1735
972	60334	1674
973	60405	1612
974	60474	1550
975	60539	1488
976	60603	1426
977	60667	1364
978	60731	1302
979	60798	1240
980	60868	1178
981	60933	1116
982	60996	1054
983	61058	992
984	61123	930
985	61187	868
986	61253	806
987	61327	744
988	61410	683
989	61501	621
990	61591	559
991	61690	497
992	61784	435
993	61868	373
994	61951	311
995	62024	249
996	62095	186
997	62178	124
998	62254	62
999	62327	0
